Abend;A·bend <-s, -e> [ˈa:bn̩t] SUBST m;1
Abenteuer;Aben·teu·er <-s, -> [ˈa:bn̩tɔyɐ] SUBST nt;1
Ablehnung;Ab·leh·nung <-, -en> [ˈapleːnʊŋ] SUBST f;1
Abschied;Ab·schied <-[e]s, -e> [ˈapʃi:t] SUBST m;1
Adresse;Ad·res·se <-, -n> [aˈdrɛsə] SUBST f;2
Advent;Ad·vent <-s, -e> [atˈvɛnt] SUBST m;2
Affe;Af·fe <-n, -n> [ˈafə] SUBST m;1
Akademie;Aka·de·mie <-, -en> [akadeˈmi:, Pl -ˈmi:ən] SUBST f;3
Aktie;Ak·tie <-, -n> [ˈaktsi̯ə] SUBST f;1
Aktion;Ak·ti·on <-, -en> [akˈtsi̯oːn] SUBST f;2
Aktionär;Ak·ti·o·när <-s, -e> [aktsi̯oˈnɛ:ɐ̯] SUBST m;4
Aktionärin;Ak·ti·o·närin <-s, -en> [aktsi̯oˈnɛ:rən̯] SUBST f;4
Aktivität;Ak·ti·vi·tät <-, -en> [aktiviˈtɛ:t] SUBST f;4
Alarm;A·larm <-[e]s, -e> [aˈlarm] SUBST m;2
Allee;Al·lee <-, -n> [aˈle:, Pl -le:ən] SUBST f;2
Allianz;Al·li·anz <-, -en> [aˈli̯ants] SUBST f;2
Alligator;Al·li·ga·tor <-s, -en> [aliˈga:to:ɐ̯] SUBST m;3
Ambition;Am·bi·ti·on <-, -en> [ambiˈtsi̯o:n] SUBST f meist Pl;3
Analyse;Ana·ly·se <-, -n> [anaˈly:zə] SUBST f;2
Anatomie;Ana·to·mie <-, -n> [anatoˈmi:, Pl -mi:ən] SUBST f;3
Angst;Angst <-, Ängste> [aŋst, Pl ˈɛŋstə] SUBST f;1
Anker;An·ker <-s, -> [ˈaŋkɐ] SUBST m;1
Anlass;An·lass <-es, Anlässe> [ˈanlas, Pl ˈanlɛsə] SUBST m;1
Annahme;An·nah·me <-, -n> [ˈanna:mə] SUBST f;1
Anstieg;An·stieg <-[e]s, -e> [ˈanʃti:k] SUBST m;1
Antrag;An·trag <-[e]s, Anträge> [ˈantra:k, Pl ˈantrɛ:gə] SUBST m;1
Antwort;Ant·wort <-, -en> [ˈantvɔrt] SUBST f;1
Anwalt;An·walt (An·wäl·tin) <-[e]s, Anwälte> [ˈanvalt, ˈanvɛltɪn, Pl ˈanvɛltə] SUBST m (f);1
Anzeige;An·zei·ge <-, -n> [ˈantsaɪ̯ɡə] SUBST f;1
Apfel;Ap·fel <-s, Äpfel> [ˈapfl̩, Pl ˈɛpfl̩] SUBST m;1
Aquädukt;Aquä·dukt <-[e]s, -e> [akvɛˈdʊkt] SUBST m o nt ARCHÄOL;2
